abash, to make ashamed, verb 
outweigh, to exceed in weight or value, verb 
ovation, prolonged enthusiastic applause, noun 
overhang, to hang over (something), verb 
overleap," to leap over, to jump over, to cross by jumping", verb 
overlord, a ruler of other rulers, noun 
overpass," a road, pedestrian walkway, etc, crossing over some barrier", noun 
overproduction, production of more of a commodity than can be used or sold, noun 
overreach, to reach above or beyond in any direction, verb 
overrun, to defeat an enemy and invade in great numbers, verb 
oversee," to supervise, guide, or direct actions of a person or group", verb 
overseer," one who oversees or supervises, a supervisor", noun 
overshadow, to dominate something and make it seem insignificant, verb 
overstride, to surpass, verb 
overt, open and not secret nor concealed, adjective 
overthrow," to bring about the downfall of a government, etc.", verb 
overtone," an implicit meaning, as opposed to a hidden meaning", noun 
overture, an approach made to establish a relationship, noun 
overweening," unduly confident, arrogant, presumptuous, conceited", adjective 
overweight, weighing too much or more than is considered normal, adjective 
overwrought," in a state of excessive nervousness, excitement, or anger", adjective 
pacific," calm, peaceful", adjective 
pacifist, one who support sor favours peace, noun 
pacify," to bring peace by ending war, violence, anger or agitation", verb 
pact," an agreement, a compact, a covenant", noun 
paean," any loud and joyous song, a song of triumph", noun 
pagan, person or community observing a polytheistic religion, noun 
pageant," an elaborate public display, i.e. a parade in costume", noun 
painstaking," carefully attentive to details, diligent in a procedure", adjective 
palatable," pleasing to the taste, tasty", adjective 
palate, the sense of taste, noun 
palatial, of or relating to a palace, adjective 
paleontology," study of life in prehistoric times, represented by fossils", noun 
palette, a thin board on which a painter lays and mixes colours, noun 
palinode, poem where an author retracts something from an earlier poem, noun 
palisade," a fence of stakes set firmly in the ground, for enclosure", noun 
pall, a cloth for spreading over a coffin, noun 
palliate, to relieve the symptoms of, verb 
palliative, minimising progression of a disease for as long as possible, adjective 
pallid," appearing weak, pale or wan", adjective 
pallor, unusual paleness, noun 
palpable," capable of being touched, felt or handled", adjective 
palpitate," to throb, beat strongly", verb 
palsy, any atonal muscular condition characterised by tremors, noun 
paltry, ridiculously or insultingly small, adjective 
paludal, of or pertaining to marshes, adjective 
pamphlet, a small booklet of printed informational matter, noun 
pamphleteer, a writer or publisher of pamphlets, noun 
pan-american," of all the countries of north, central and south america", adjective 
panacea," a remedy for all disease or ills, a cure-all", noun 
panache, a grand or flamboyant manner, noun 
pandemic," disease prevalent in a country, continent, or the world", adjective 
pandemonium, wild uproar or unrestrained disorder, noun 
pander, to cater to or profit from the weaknesses of others, verb 
panegyric, a lofty oration or writing in praise of a person or thing, noun 
panoply, a splendid display of something, noun 
panorama, an unobstructed and wide view of an extensive area, noun 
pantheism, doctrine that god is transcendent reality of the universe, noun 
pantheon, a temple dedicated to all the gods, noun 
pantomime, the art of conveying actions by gestures without speech, noun 
pantoscope, a very wide-angled photographic lens, noun 
papacy, the office of the pope, noun 
papyrus," a tall, aquatic plant native to the nile valley", noun 
parable, a short allegorical story that illustrates a moral lesson, noun 
paradigm, an example serving as a model, noun 
paradox, seemingly contradictory statement that may be true, noun 
paragon, a model or pattern of excellence, noun 
parallel," extending in same direction, never converging or diverging", adjective 
paralyze, to afflict with paralysis, verb 
parameters," limits or boundaries, guidelines", noun 
paramount," chief in importance or impact, supreme, preeminent", adjective 
paramour," an illicit lover, especially of a married person", noun 
paraphernalia," miscellaneous items, stuff", noun 
paraphrase," to restate something as, or to compose a paraphrase", verb 
parasite," organism that lives in, gets nutrients from another organism", noun 
parch," to make extremely, excessively, or completely dry", verb 
parchmnet," the skin of sheep, used as a material on which to write", verb 
pare," to cut off the outer coating, layer or part of", verb 
parentage," descent from ancestors, birth, origin or lineage", noun 
pariah, an outcast, noun 
Parisian," of, or pertaining to, or characteristic of paris, france", adjective 
parity," equality, as in amount, status or character", noun 
parlance," a way or manner of speaking, vernacular, idiom", noun 
parlay," to bet or gamble on a subsequent race, contest, etc", verb 
parley, meeting between enemies under a truce to discuss terms, verb 
parliament, assembly of the representatives of a political nation, noun 
parlor, a room for the reception of visitors to one's home, noun 
parlous," perilous, dangerous", adjective 
parochial, pertaining to a parish, adjective 
parody, a satirical imitation of a serious piece of literature, noun 
paronymous, containing the same root or stem as another word, adjective 
paroxysm," any sudden, violent outburst", noun 
parricide," someone who kills a relative, especially a parent", noun 
parry," to avoid, deflect, or ward off (an attack)", verb 
parse, to analyse in terms of grammatical constituents, verb 
parsimonious," extremely frugal, stingy", adjective 
parsimony, great reluctance to spend money unnecessarily, noun 
partible, divisible (able to be divided or partitioned), adjective 
participate," to join in, to take part, to involve oneself", verb 
